transaction_date,weather_temp_max_c,weather_temp_min_c,weather_temp_mean_c,weather_precipitation_mm,weather_rain_mm,weather_snowfall_mm,weather_wind_speed_max_kmh,weather_source,weather_is_real
2023-01-01,11.9,4.9,9.0,2.1,2.1,0.0,17.4,Open-Meteo Historical Weather API,1
2023-01-02,12.9,4.6,7.9,0.5,0.5,0.0,9.0,Open-Meteo Historical Weather API,1
2023-01-03,12.9,6.3,9.5,9.5,9.5,0.0,19.4,Open-Meteo Historical Weather API,1
2023-01-04,18.0,9.6,13.1,2.3,2.3,0.0,18.2,Open-Meteo Historical Weather API,1
2023-01-05,13.1,7.4,10.0,0.0,0.0,0.0,12.1,Open-Meteo Historical Weather API,1
2023-01-06,8.7,3.3,6.2,9.6,9.6,0.0,16.3,Open-Meteo Historical Weather API,1
2023-01-07,8.2,0.5,3.7,0.0,0.0,0.0,20.2,Open-Meteo Historical Weather API,1
2023-01-08,4.2,-2.3,1.4,0.0,0.0,0.0,13.7,Open-Meteo Historical Weather API,1
2023-01-09,7.2,0.8,3.1,1.5,1.2,0.21,17.9,Open-Meteo Historical Weather API,1
2023-01-10,6.3,0.1,2.7,0.0,0.0,0.0,14.6,Open-Meteo Historical Weather API,1
2023-01-11,3.9,-1.1,1.0,0.0,0.0,0.0,13.8,Open-Meteo Historical Weather API,1
2023-01-12,9.8,-0.6,5.3,11.9,11.9,0.0,21.0,Open-Meteo Historical Weather API,1
2023-01-13,12.7,3.1,9.3,1.6,1.6,0.0,27.1,Open-Meteo Historical Weather API,1
2023-01-14,2.9,-0.5,1.0,0.0,0.0,0.0,26.3,Open-Meteo Historical Weather API,1
2023-01-15,5.2,-1.7,0.7,0.0,0.0,0.0,33.8,Open-Meteo Historical Weather API,1
2023-01-16,8.2,-2.3,1.6,0.0,0.0,0.0,26.3,Open-Meteo Historical Weather API,1
2023-01-17,7.4,-2.0,2.5,1.4,1.4,0.0,13.3,Open-Meteo Historical Weather API,1
2023-01-18,10.8,3.0,6.7,1.7,1.7,0.0,25.5,Open-Meteo Historical Weather API,1
2023-01-19,5.7,2.4,4.0,23.5,23.5,0.0,16.3,Open-Meteo Historical Weather API,1
2023-01-20,9.0,1.9,5.4,0.6,0.6,0.0,30.7,Open-Meteo Historical Weather API,1
2023-01-21,6.2,-1.9,2.8,0.2,0.2,0.0,19.9,Open-Meteo Historical Weather API,1
